keyword,times,percentage,,,,,
scalar field topology,19,,scalar field topology19,,,scalar field topology19,
sets,19,,sets19,,,sets19,
shear,19,,shear19,,,shear19,
Silhouettes,19,,Silhouettes19,,,Silhouettes19,
social data analysis,19,,social data analysis19,,,social data analysis19,
space,19,,space19,,,space19,
Statistics,19,,Statistics19,,,Statistics19,
strain,19,,strain19,,,strain19,
stress,19,,stress19,,,stress19,
Taxi trajectories,19,,Taxi trajectories19,,,Taxi trajectories19,
tetrahedral meshes,19,,tetrahedral meshes19,,,tetrahedral meshes19,
Time-varying Visualization,19,,Time-varying Visualization19,,,Time-varying Visualization19,
Topic graph,19,,Topic graph19,,,Topic graph19,
Tree comparison,19,,Tree comparison19,,,Tree comparison19,
Urban network,19,,Urban network19,,,Urban network19,
Visual Query Specijication,19,,Visual Query Specijication19,,,Visual Query Specijication19,
visual task design,19,,visual task design19,,,visual task design19,
Aasymmetric tensor fields,18,,Aasymmetric tensor fields18,,,Aasymmetric tensor fields18,
analytic reasoning,18,,analytic reasoning18,,,analytic reasoning18,
argumentation marshalling,18,,argumentation marshalling18,,,argumentation marshalling18,
authoring environment,18,,authoring environment18,,,authoring environment18,
bioinformatics visualization,18,,bioinformatics visualization18,,,bioinformatics visualization18,
botanical tree,18,,botanical tree18,,,botanical tree18,
coding,18,,coding18,,,coding18,
cognition and perception theory,18,,cognition and perception theory18,,,cognition and perception theory18,
collective intelligence,18,,collective intelligence18,,,collective intelligence18,
correlation,18,,correlation18,,,correlation18,
correlation measure,18,,correlation measure18,,,correlation measure18,
curvilinear grid,18,,curvilinear grid18,,,curvilinear grid18,
Data compression,18,,Data compression18,,,Data compression18,
directory tree,18,,directory tree18,,,directory tree18,
DTI,18,,DTI18,,,DTI18,
Dynamic data,18,,Dynamic data18,,,Dynamic data18,
embodied cognition,18,,embodied cognition18,,,embodied cognition18,
entity-based,18,,entity-based18,,,entity-based18,
Evaluation methodology,18,,Evaluation methodology18,,,Evaluation methodology18,
external-memory algorithm,18,,external-memory algorithm18,,,external-memory algorithm18,
geographic/geospatial visualization,18,,geographic/geospatial visualization18,,,geographic/geospatial visualization18,
Geometry Tensors,18,,Geometry Tensors18,,,Geometry Tensors18,
glyph packing,18,,glyph packing18,,,glyph packing18,
GPUs,18,,GPUs18,,,GPUs18,
guidelines,18,,guidelines18,,,guidelines18,
huge hierarchy,18,,huge hierarchy18,,,huge hierarchy18,
hyperstreamline placement,18,,hyperstreamline placement18,,,hyperstreamline placement18,
irregular grids,18,,irregular grids18,,,irregular grids18,
law enforcement,18,,law enforcement18,,,law enforcement18,
logical tree,18,,logical tree18,,,logical tree18,
microblog data,18,,microblog data18,,,microblog data18,
model validation,18,,model validation18,,,model validation18,
morphing,18,,morphing18,,,morphing18,
Multi-Projector Displays,18,,Multi-Projector Displays18,,,Multi-Projector Displays18,
mutual reinforcement model,18,,mutual reinforcement model18,,,mutual reinforcement model18,
occlusion culling,18,,occlusion culling18,,,occlusion culling18,
ontology,18,,ontology18,,,ontology18,
OpenGL,18,,OpenGL18,,,OpenGL18,
Opinion visualization,18,,Opinion visualization18,,,Opinion visualization18,
phyllotaxis,18,,phyllotaxis18,,,phyllotaxis18,
Rate-of-Deformation Tensors,18,,Rate-of-Deformation Tensors18,,,Rate-of-Deformation Tensors18,
semantic notebook,18,,semantic notebook18,,,semantic notebook18,
stacked graphs,18,,stacked graphs18,,,stacked graphs18,
strands,18,,strands18,,,strands18,
sub-dimensional space,18,,sub-dimensional space18,,,sub-dimensional space18,
subspace,18,,subspace18,,,subspace18,
System,18,,System18,,,System18,
Tensor Glyphs,18,,Tensor Glyphs18,,,Tensor Glyphs18,
Terrain,18,,Terrain18,,,Terrain18,
texture,18,,texture18,,,texture18,
texturing,18,,texturing18,,,texturing18,
time-oriented data,18,,time-oriented data18,,,time-oriented data18,
trees,18,,trees18,,,trees18,
view-dependent visualization,18,,view-dependent visualization18,,,view-dependent visualization18,
Voronoi diagram,18,,Voronoi diagram18,,,Voronoi diagram18,
Analytic Activity,17,,Analytic Activity17,,,Analytic Activity17,
anisotropic shading,17,,anisotropic shading17,,,anisotropic shading17,
business intelligence,17,,business intelligence17,,,business intelligence17,
computed tomography,17,,computed tomography17,,,computed tomography17,
computer graphics,17,,computer graphics17,,,computer graphics17,
Constrained Navigation,17,,Constrained Navigation17,,,Constrained Navigation17,
coordinated relationship,17,,coordinated relationship17,,,coordinated relationship17,
database overview,17,,database overview17,,,database overview17,
distance field,17,,distance field17,,,distance field17,
Earth science visualization,17,,Earth science visualization17,,,Earth science visualization17,
edge bundling,17,,edge bundling17,,,edge bundling17,
entropy,17,,entropy17,,,entropy17,
extremum graph,17,,extremum graph17,,,extremum graph17,
GPU rendering,17,,GPU rendering17,,,GPU rendering17,
graph,17,,graph17,,,graph17,
iconic visualization,17,,iconic visualization17,,,iconic visualization17,
illumination,17,,illumination17,,,illumination17,
illustration,17,,illustration17,,,illustration17,
interactive algorithms,17,,interactive algorithms17,,,interactive algorithms17,
Interface Evaluation,17,,Interface Evaluation17,,,Interface Evaluation17,
Local Statistics,17,,Local Statistics17,,,Local Statistics17,
mdmv,17,,mdmv17,,,mdmv17,
Media Analysis,17,,Media Analysis17,,,Media Analysis17,
methodology,17,,methodology17,,,methodology17,
Microblogging,17,,Microblogging17,,,Microblogging17,
multi-focus distortion,17,,multi-focus distortion17,,,multi-focus distortion17,
multivariate uncertainty,17,,multivariate uncertainty17,,,multivariate uncertainty17,
octree,17,,octree17,,,octree17,
problem subdivision,17,,problem subdivision17,,,problem subdivision17,
radial space-filling hierarchy visualizations,17,,radial space-filling hierarchy visualizations17,,,radial space-filling hierarchy visualizations17,
scientific literature,17,,scientific literature17,,,scientific literature17,
semantic edge bundling,17,,semantic edge bundling17,,,semantic edge bundling17,
Similarity,17,,Similarity17,,,Similarity17,
species distribution models,17,,species distribution models17,,,species distribution models17,
star glyphs,17,,star glyphs17,,,star glyphs17,
structure-based brushing,17,,structure-based brushing17,,,structure-based brushing17,
Symmetries,17,,Symmetries17,,,Symmetries17,
systematic review,17,,systematic review17,,,systematic review17,
tensor,17,,tensor17,,,tensor17,
theory of visualization,17,,theory of visualization17,,,theory of visualization17,
tufts,17,,tufts17,,,tufts17,
user involvement,17,,user involvement17,,,user involvement17,
Viewing Control,17,,Viewing Control17,,,Viewing Control17,
visual citation analysis,17,,visual citation analysis17,,,visual citation analysis17,
visual clutter,17,,visual clutter17,,,visual clutter17,
visualization in medicine,17,,visualization in medicine17,,,visualization in medicine17,
Wavelets,17,,Wavelets17,,,Wavelets17,
Weather forecast,17,,Weather forecast17,,,Weather forecast17,
3-D texture,16,,3-D texture16,,,3-D texture16,
3D flow visualization,16,,3D flow visualization16,,,3D flow visualization16,
3d input device,16,,3d input device16,,,3d input device16,
art,16,,art16,,,art16,
bifurcations,16,,bifurcations16,,,bifurcations16,
clouds,16,,clouds16,,,clouds16,
cognition,16,,cognition16,,,cognition16,
color map,16,,color map16,,,color map16,
coordinated views,16,,coordinated views16,,,coordinated views16,
Cosmology,16,,Cosmology16,,,Cosmology16,
Delaunay triangulation,16,,Delaunay triangulation16,,,Delaunay triangulation16,
device information-base,16,,device information-base16,,,device information-base16,
device unified interface,16,,device unified interface16,,,device unified interface16,
Flow field visualization,16,,Flow field visualization16,,,Flow field visualization16,
HCI,16,,HCI16,,,HCI16,
hierarchy data,16,,hierarchy data16,,,hierarchy data16,
highlighting,16,,highlighting16,,,highlighting16,
hybrid,16,,hybrid16,,,hybrid16,
Implant Planning,16,,Implant Planning16,,,Implant Planning16,
magnification,16,,magnification16,,,magnification16,
Model Comparison,16,,Model Comparison16,,,Model Comparison16,
oil painting,16,,oil painting16,,,oil painting16,
parallel rendering,16,,parallel rendering16,,,parallel rendering16,
quadric error metric,16,,quadric error metric16,,,quadric error metric16,
Real-time Quantitative Query,16,,Real-time Quantitative Query16,,,Real-time Quantitative Query16,
Relation-Based Visualization,16,,Relation-Based Visualization16,,,Relation-Based Visualization16,
sample points,16,,sample points16,,,sample points16,
separating surfaces,16,,separating surfaces16,,,separating surfaces16,
smoothed particle hydrodynamics,16,,smoothed particle hydrodynamics16,,,smoothed particle hydrodynamics16,
surface approximation,16,,surface approximation16,,,surface approximation16,
tensor field,16,,tensor field16,,,tensor field16,
topological lines,16,,topological lines16,,,topological lines16,
trajectories,16,,trajectories16,,,trajectories16,
trianlge,16,,trianlge16,,,trianlge16,
Uncertain Graphs,16,,Uncertain Graphs16,,,Uncertain Graphs16,
virtual input device,16,,virtual input device16,,,virtual input device16,
visual evidence,16,,visual evidence16,,,visual evidence16,
Visualization Pipeline,16,,Visualization Pipeline16,,,Visualization Pipeline16,
Visualizing Uncertainty,16,,Visualizing Uncertainty16,,,Visualizing Uncertainty16,
Vortex cores,16,,Vortex cores16,,,Vortex cores16,
Vortex Detection,16,,Vortex Detection16,,,Vortex Detection16,
wind,16,,wind16,,,wind16,
attribute calculation,15,,attribute calculation15,,,attribute calculation15,
Biclusters,15,,Biclusters15,,,Biclusters15,
Compound graph,15,,Compound graph15,,,Compound graph15,
conversation analysis,15,,conversation analysis15,,,conversation analysis15,
coordinated relationships,15,,coordinated relationships15,,,coordinated relationships15,
design framework,15,,design framework15,,,design framework15,
Design Theory,15,,Design Theory15,,,Design Theory15,
distant reading,15,,distant reading15,,,distant reading15,
dynamic queries,15,,dynamic queries15,,,dynamic queries15,
Emergency/Disaster Management,15,,Emergency/Disaster Management15,,,Emergency/Disaster Management15,
expert reviews,15,,expert reviews15,,,expert reviews15,
Expressiveness,15,,Expressiveness15,,,Expressiveness15,
finite element codes and simulations,15,,finite element codes and simulations15,,,finite element codes and simulations15,
Focus and Context,15,,Focus and Context15,,,Focus and Context15,
graph analysis,15,,graph analysis15,,,graph analysis15,
Graph-level operations,15,,Graph-level operations15,,,Graph-level operations15,
healthcare,15,,healthcare15,,,healthcare15,
Human motion visualization,15,,Human motion visualization15,,,Human motion visualization15,
iterative analysis,15,,iterative analysis15,,,iterative analysis15,
knowledge representation,15,,knowledge representation15,,,knowledge representation15,
Level-of-Detail Techniques,15,,Level-of-Detail Techniques15,,,Level-of-Detail Techniques15,
